yahoo_symbol,Scheme Name,AMC,Plan,Option
0P0000XVYG.BO,Aditya Birla Sun Life Banking & PSU Debt Fund  - DIRECT - IDCW,Aditya Birla Sun Life Mutual Fund,Direct,IDCW
0P0000XVYF.BO,Aditya Birla Sun Life Banking & PSU Debt Fund  - DIRECT - MONTHLY IDCW,Aditya Birla Sun Life Mutual Fund,Direct,IDCW
0P0000XVYI.BO,Aditya Birla Sun Life Banking & PSU Debt Fund  - Direct - Quarterly IDCW,Aditya Birla Sun Life Mutual Fund,Direct,IDCW
0P0000GBBQ.BO,Aditya Birla Sun Life Banking & PSU Debt Fund  - REGULAR - IDCW,Aditya Birla Sun Life Mutual Fund,Regular,IDCW
0P0000IX84.BO,Aditya Birla Sun Life Banking & PSU Debt Fund  - REGULAR - MONTHLY IDCW,Aditya Birla Sun Life Mutual Fund,Regular,IDCW
0P0000GBBW.BO,Aditya Birla Sun Life Banking & PSU Debt Fund  - REGULAR - Quarterly IDCW,Aditya Birla Sun Life Mutual Fund,Regular,IDCW
0P0000IX83.BO,Aditya Birla Sun Life Banking & PSU Debt Fund  - retail - monthly IDCW,Aditya Birla Sun Life Mutual Fund,Unknown,IDCW
0P00009QD2.BO,Aditya Birla Sun Life Banking & PSU Debt Fund  - retail - quarterly IDCW,Aditya Birla Sun Life Mutual Fund,Unknown,IDCW
0P0000GBCG.BO,Aditya Birla Sun Life Banking & PSU Debt Fund - Regular Plan-Growth,Aditya Birla Sun Life Mutual Fund,Regular,Unknown
0P00005V6G.BO,Aditya Birla Sun Life Banking & PSU Debt Fund - Retail Plan-Growth,Aditya Birla Sun Life Mutual Fund,Unknown,Unknown
0P0000XVYH.BO,Aditya Birla Sun Life Banking & PSU Debt Fund- Direct Plan-Growth,Aditya Birla Sun Life Mutual Fund,Direct,Unknown
,Axis Banking & PSU Debt Fund - Direct Plan - Bonus Option,Axis Mutual Fund,Direct,Unknown
,Axis Banking & PSU Debt Fund - Direct Plan - Daily IDCW,Axis Mutual Fund,Direct,IDCW
0P0000XUXL.BO,Axis Banking & PSU Debt Fund - Direct Plan - Growth Option,Axis Mutual Fund,Direct,Growth
0P0000Y4XL.BO,Axis Banking & PSU Debt Fund - Direct Plan - Monthly IDCW,Axis Mutual Fund,Direct,IDCW
0P0000XY0B.BO,Axis Banking & PSU Debt Fund - Direct Plan - Weekly IDCW,Axis Mutual Fund,Direct,IDCW
,Axis Banking & PSU Debt Fund - Regular Plan - Bonus Option,Axis Mutual Fund,Regular,Unknown
,Axis Banking & PSU Debt Fund - Regular Plan - Daily IDCW,Axis Mutual Fund,Regular,IDCW
0P0000W9NJ.BO,Axis Banking & PSU Debt Fund - Regular Plan - Growth option,Axis Mutual Fund,Regular,Growth
0P0000W9NM.BO,Axis Banking & PSU Debt Fund - Regular Plan - Monthly IDCW,Axis Mutual Fund,Regular,IDCW
0P0000W9NL.BO,Axis Banking & PSU Debt Fund - Regular Plan - Weekly IDCW,Axis Mutual Fund,Regular,IDCW
0P0001RRC6.BO,Bajaj Finserv Banking and PSU Fund-  Direct Plan-Monthly- IDCW,Bajaj Finserv Mutual Fund,Direct,IDCW
