Scheme Code,ISIN Div Payout/ ISIN Growth,ISIN Div Reinvestment,Scheme Name,Net Asset Value,Date,ISIN,yahoo_symbol,yahoo_quote_type,yahoo_exchange
119551,INF209KA12Z1,INF209KA13Z9,Aditya Birla Sun Life Banking & PSU Debt Fund  - DIRECT - IDCW,104.8696,08-May-2026,INF209KA12Z1,0P0000XVYG.BO,MUTUALFUND,BSE
119552,INF209K01YM2,-,Aditya Birla Sun Life Banking & PSU Debt Fund  - DIRECT - MONTHLY IDCW,116.4427,08-May-2026,INF209K01YM2,0P0000XVYF.BO,MUTUALFUND,BSE
119553,INF209K01YO8,-,Aditya Birla Sun Life Banking & PSU Debt Fund  - Direct - Quarterly IDCW,104.1538,08-May-2026,INF209K01YO8,0P0000XVYI.BO,MUTUALFUND,BSE
108272,INF209K01LX6,INF209KA11Z3,Aditya Birla Sun Life Banking & PSU Debt Fund  - REGULAR - IDCW,146.8796,08-May-2026,INF209K01LX6,0P0000GBBQ.BO,MUTUALFUND,BSE
110282,INF209K01LU2,-,Aditya Birla Sun Life Banking & PSU Debt Fund  - REGULAR - MONTHLY IDCW,111.8429,08-May-2026,INF209K01LU2,0P0000IX84.BO,MUTUALFUND,BSE
108274,INF209K01LN7,-,Aditya Birla Sun Life Banking & PSU Debt Fund  - REGULAR - Quarterly IDCW,101.8229,08-May-2026,INF209K01LN7,0P0000GBBW.BO,MUTUALFUND,BSE
110490,INF209K01LR8,-,Aditya Birla Sun Life Banking & PSU Debt Fund  - retail - monthly IDCW,113.4592,08-May-2026,INF209K01LR8,0P0000IX83.BO,MUTUALFUND,BSE
106157,INF209K01LS6,-,Aditya Birla Sun Life Banking & PSU Debt Fund  - retail - quarterly IDCW,103.0123,08-May-2026,INF209K01LS6,0P00009QD2.BO,MUTUALFUND,BSE
108273,INF209K01LV0,-,Aditya Birla Sun Life Banking & PSU Debt Fund - Regular Plan-Growth,380.4994,08-May-2026,INF209K01LV0,0P0000GBCG.BO,MUTUALFUND,BSE
103176,INF209K01LT4,-,Aditya Birla Sun Life Banking & PSU Debt Fund - Retail Plan-Growth,571.1813,08-May-2026,INF209K01LT4,0P00005V6G.BO,MUTUALFUND,BSE
