run_date,fund_symbol,fund_name,cashPosition,stockPosition,bondPosition,preferredPosition,convertiblePosition,otherPosition
2026-05-08,0P0000XVYG.BO,Aditya Birla Sun Life Banking & PSU Debt Fund  - DIRECT - IDCW,0.2484,0.0,0.7485,0.0,0.0,0.0032
2026-05-08,0P0000XVYF.BO,Aditya Birla Sun Life Banking & PSU Debt Fund  - DIRECT - MONTHLY IDCW,0.2484,0.0,0.7485,0.0,0.0,0.0032
2026-05-08,0P0000XVYI.BO,Aditya Birla Sun Life Banking & PSU Debt Fund  - Direct - Quarterly IDCW,0.2484,0.0,0.7485,0.0,0.0,0.0032
2026-05-08,0P0000GBBQ.BO,Aditya Birla Sun Life Banking & PSU Debt Fund  - REGULAR - IDCW,0.2484,0.0,0.7485,0.0,0.0,0.0032
2026-05-08,0P0000IX84.BO,Aditya Birla Sun Life Banking & PSU Debt Fund  - REGULAR - MONTHLY IDCW,0.2484,0.0,0.7485,0.0,0.0,0.0032
2026-05-08,0P0000GBBW.BO,Aditya Birla Sun Life Banking & PSU Debt Fund  - REGULAR - Quarterly IDCW,0.2484,0.0,0.7485,0.0,0.0,0.0032
2026-05-08,0P0000IX83.BO,Aditya Birla Sun Life Banking & PSU Debt Fund  - retail - monthly IDCW,0.2484,0.0,0.7485,0.0,0.0,0.0032
2026-05-08,0P00009QD2.BO,Aditya Birla Sun Life Banking & PSU Debt Fund  - retail - quarterly IDCW,0.2484,0.0,0.7485,0.0,0.0,0.0032
2026-05-08,0P0000GBCG.BO,Aditya Birla Sun Life Banking & PSU Debt Fund - Regular Plan-Growth,0.2484,0.0,0.7485,0.0,0.0,0.0032
2026-05-08,0P00005V6G.BO,Aditya Birla Sun Life Banking & PSU Debt Fund - Retail Plan-Growth,0.2484,0.0,0.7485,0.0,0.0,0.0032
2026-05-08,0P0000XVYH.BO,Aditya Birla Sun Life Banking & PSU Debt Fund- Direct Plan-Growth,0.2484,0.0,0.7485,0.0,0.0,0.0032
