run_date,fund_symbol,fund_name,holding_symbol,holding_name,weight_pct
2026-05-08,0P0000XUYV.BO,ICICI Prudential Credit Risk Fund - Direct Plan - Growth,,,0
2026-05-08,0P0000XUYW.BO,ICICI Prudential Credit Risk Fund - Direct Plan - Quarterly IDCW,,,0
2026-05-08,0P0000RT81.BO,ICICI Prudential Credit Risk Fund - Growth,,,0
2026-05-08,0P0000RT82.BO,ICICI Prudential Credit Risk Fund - Quarterly IDCW,,,0
2026-05-08,0P00012JRN.BO,Kotak Credit Risk Fund - Direct Plan - Standard Income Distribution cum capital withdrawal option,,,0
2026-05-08,0P0000NOLQ.BO,Kotak Credit Risk Fund - Growth,,,0
2026-05-08,0P0000XV6D.BO,Kotak Credit Risk Fund - Growth - Direct,,,0
2026-05-08,0P0000NOLU.BO,Kotak Credit Risk Fund - Regular Plan - Standard Income Distribution cum capital withdrawal option,,,0
2026-05-08,0P0000XV5X.BO,Kotak Dynamic Bond Fund - Direct Plan - Standard Income Distribution cum capital withdrawal option,,,0
2026-05-08,0P0000XV5V.BO,Kotak Dynamic Bond Fund - Growth - Direct,,,0
2026-05-08,0P0000XB0L.BO,Kotak Dynamic Bond Fund Regular Plan - Standard Income Distribution cum capital withdrawal option,,,0
2026-05-08,0P0000GBD3.BO,Kotak Dynamic Bond Fund Regular Plan Growth,,,0
2026-05-08,0P0000XYOB.BO,ICICI Prudential Medium Term Bond Fund - Direct Plan - Growth,,,0
2026-05-08,0P0000XWA9.BO,ICICI Prudential Medium Term Bond Fund - Direct Plan - Quarterly IDCW,,,0
2026-05-08,0P00005UNR.BO,ICICI Prudential Medium Term Bond Fund - Growth,,,0
2026-05-08,0P0000V9C3.BO,ICICI Prudential Medium Term Bond Fund - Quarterly IDCW,,,0
2026-05-08,0P00012K1C.BO,Kotak Medium Term Fund - Direct - Standard Income Distribution cum capital withdrawal option,,,0
2026-05-08,0P00012K1B.BO,Kotak Medium Term Fund - Direct Growth,,,0
2026-05-08,0P00012K18.BO,Kotak Medium Term Fund - Growth,,,0
2026-05-08,0P00012K19.BO,Kotak Medium Term Fund - Standard Income Distribution cum capital withdrawal option,,,0
2026-05-08,0P0000XVGR.BO,Invesco India Contra Fund - Direct Plan - Growth,,,0
2026-05-08,0P0000XVGM.BO,Invesco India Contra Fund - Direct Plan - IDCW (Payout / Reinvestment),,,0
2026-05-08,0P000093TB.BO,Invesco India Contra Fund - Regular Plan - Growth,,,0
2026-05-08,0P000093SU.BO,Invesco India Contra Fund - Regular Plan - IDCW (Payout / Reinvestment),,,0
2026-05-08,0P0000XV5Q.BO,Kotak Contra Fund - Direct Plan - Growth,,,0
2026-05-08,0P0000XV5P.BO,Kotak Contra Fund - Direct Plan - IDCW -Payout & Re-investment of Income Distribution cum capital withdrawal option- Direct,,,0
2026-05-08,0P00005WSS.BO,Kotak Contra Fund - Regular Plan - Growth,,,0
2026-05-08,0P00005WSR.BO,Kotak Contra Fund - Regular Plan - IDCW - Payout & Re-investment of Income Distribution cum capital withdrawal option,,,0
2026-05-08,0P0000XVJR.BO,SBI CONTRA FUND - DIRECT PLAN - GROWTH,,,0
2026-05-08,0P0000XVJU.BO,SBI Contra Fund - Direct Plan - Income Distribution cum Capital Withdrawal Option (IDCW),,,0
2026-05-08,0P00005WFE.BO,SBI Contra Fund - Regular Plan - Income Distribution cum Capital Withdrawal Option (IDCW),,,0
2026-05-08,0P00005WFF.BO,SBI CONTRA FUND - REGULAR PLAN -GROWTH,,,0
2026-05-08,0P0000XVW7.BO,Aditya Birla Sun Life Dividend Yield Fund - Growth - Direct Plan,,,0
2026-05-08,0P00005V47.BO,Aditya Birla Sun Life Dividend Yield Fund - Growth - Regular Plan,,,0
2026-05-08,0P0000XVW6.BO,Aditya Birla Sun Life Dividend Yield Fund -DIRECT - IDCW,,,0
2026-05-08,0P00005V46.BO,Aditya Birla Sun Life Dividend Yield Fund -REGULAR - IDCW,,,0
2026-05-08,0P0001TH6S.BO,Baroda BNP Paribas Dividend Yield Fund - Direct Plan - Growth Option,,,0
2026-05-08,0P0001TH6T.BO,Baroda BNP Paribas Dividend Yield Fund - Direct Plan - IDCW Option,,,0
2026-05-08,0P0001TH6V.BO,Baroda BNP Paribas Dividend Yield Fund - Regular Plan - Growth Option,,,0
2026-05-08,0P0001TH6W.BO,Baroda BNP Paribas Dividend Yield Fund - Regular Plan - IDCW Option,,,0
2026-05-08,0P0000XVQS.BO,Franklin India Dividend Yield Fund - Direct - Growth,,,0
2026-05-08,0P0000XVQR.BO,Franklin India Dividend Yield Fund - Direct - IDCW,,,0
2026-05-08,0P00005WIW.BO,Franklin India Dividend Yield Fund - IDCW,,,0
2026-05-08,0P00005WIX.BO,Franklin India Dividend Yield Fund-Growth Plan,,,0
2026-05-08,0P0001L6NT.BO,HDFC Dividend Yield Fund - Growth Option Direct Plan,,,0
2026-05-08,0P0001L6NW.BO,HDFC Dividend Yield Fund - Growth Plan,,,0
2026-05-08,0P0001L6NV.BO,HDFC Dividend Yield Fund - IDCW Option Direct Plan,,,0
2026-05-08,0P0001L6NY.BO,HDFC Dividend Yield Fund - IDCW Plan,,,0
2026-05-08,0P000134CI.BO,ICICI Prudential Dividend Yield Equity Fund Direct Plan Growth Option,,,0
2026-05-08,0P000134CJ.BO,ICICI Prudential Dividend Yield Equity Fund Direct Plan IDCW Option,,,0
2026-05-08,0P000134CG.BO,ICICI Prudential Dividend Yield Equity Fund Growth Option,,,0
2026-05-08,0P000134CH.BO,ICICI Prudential Dividend Yield Equity Fund IDCW Option,,,0
2026-05-08,0P0001YJIV.BO,Kotak Dividend Yield Fund - Direct - Growth,,,0
2026-05-08,0P0001YJIW.BO,Kotak Dividend Yield Fund - Direct - IDCW,,,0
2026-05-08,0P0001YJIY.BO,Kotak Dividend Yield Fund - Regular -Growth,,,0
2026-05-08,0P0001YJIZ.BO,Kotak Dividend Yield Fund - Regular IDCW,,,0
2026-05-08,0P0001F9Y6.BO,LIC MF Dividend Yield Fund-Direct Plan-Growth,,,0
2026-05-08,0P0001F9Y8.BO,LIC MF Dividend Yield Fund-Direct Plan-IDCW,,,0
2026-05-08,0P0001F9Y9.BO,LIC MF Dividend Yield Fund-Regular Plan-Growth,,,0
2026-05-08,0P0001F9YB.BO,LIC MF Dividend Yield Fund-Regular Plan-IDCW,,,0
2026-05-08,0P0001QHKI.BO,SBI Dividend Yield Fund - Direct Plan - Growth,,,0
2026-05-08,0P0001QHKJ.BO,SBI Dividend Yield Fund - Direct Plan - Income Distribution cum Capital Withdrawal (IDCW) Option,,,0
2026-05-08,0P0001QHKM.BO,SBI Dividend Yield Fund - Regular Plan - Growth,,,0
2026-05-08,0P0001QHKN.BO,SBI Dividend Yield Fund - Regular Plan - Income Distribution cum Capital Withdrawal (IDCW) Option,,,0
2026-05-08,0P0000XVCB.BO,Sundaram Dividend Yield Fund (Formerly Known as Principal Dividend Yield Fund) - Direct Plan - Growth Option,,,0
2026-05-08,0P0000XVCE.BO,Sundaram Dividend Yield Fund (Formerly Known as Principal Dividend Yield Fund)- Direct Plan - Income Distribution CUM Capital Withdrawal Option,,,0
2026-05-08,0P00005WX3.BO,Sundaram Dividend Yield Fund (Formerly Known as Principal Dividend Yield Fund)- Income Distribution CUM Capital Withdrawal Plan,,,0
2026-05-08,0P00005WX5.BO,Sundaram Dividend Yield Fund (Formerly Known as Principal Dividend Yield Fund)-Growth Plan,,,0
2026-05-08,0P0001MAER.BO,Tata Dividend Yield Fund-Direct Plan-Growth,,,0
