yahoo_symbol,fund_name,FY,April_NAV,March_NAV,Dividend,Avg_NAV,IDCW_Yield_pct
0P00005UMK.BO,ICICI Prudential Gilt Fund - IDCW,2017-2018,12.178600311279297,12.492799758911133,0.0,12.335700035095217,0.0
0P00005UMK.BO,ICICI Prudential Gilt Fund - IDCW,2018-2019,12.543100357055664,13.220600128173828,0.0845,12.881850242614746,0.66
0P00005UMK.BO,ICICI Prudential Gilt Fund - IDCW,2019-2020,13.2391996383667,14.842399597167969,0.0,14.040799617767334,0.0
0P00005UMK.BO,ICICI Prudential Gilt Fund - IDCW,2020-2021,14.745200157165527,16.07200050354004,0.0,15.408600330352783,0.0
0P00005UMK.BO,ICICI Prudential Gilt Fund - IDCW,2021-2022,16.105100631713867,15.465399742126465,1.25,15.785250186920166,7.92
0P00005UMK.BO,ICICI Prudential Gilt Fund - IDCW,2022-2023,15.447400093078612,16.358200073242188,0.0,15.9028000831604,0.0
0P00005UMK.BO,ICICI Prudential Gilt Fund - IDCW,2023-2024,16.365999221801758,17.777599334716797,0.5322,17.071799278259277,3.12
0P00005UMK.BO,ICICI Prudential Gilt Fund - IDCW,2024-2025,17.202800750732422,17.375200271606445,1.3588,17.289000511169434,7.86
0P00005UMK.BO,ICICI Prudential Gilt Fund - IDCW,2025-2026,17.48259925842285,16.947900772094727,0.9032,17.21525001525879,5.25
0P00005UMK.BO,ICICI Prudential Gilt Fund - IDCW,2026-2027,16.84600067138672,17.284099578857422,0.0,17.06505012512207,0.0
0P00005UML.BO,ICICI Prudential Gilt Fund - Growth,2017-2018,58.21379852294922,59.71580123901367,0.0,58.964799880981445,0.0
0P00005UML.BO,ICICI Prudential Gilt Fund - Growth,2018-2019,59.95589828491211,63.79890060424805,0.0,61.87739944458008,0.0
0P00005UML.BO,ICICI Prudential Gilt Fund - Growth,2019-2020,63.88890075683594,71.62519836425781,0.0,67.75704956054688,0.0
0P00005UML.BO,ICICI Prudential Gilt Fund - Growth,2020-2021,71.15630340576172,77.55919647216797,0.0,74.35774993896484,0.0
0P00005UML.BO,ICICI Prudential Gilt Fund - Growth,2021-2022,77.71890258789062,80.68509674072266,0.0,79.20199966430664,0.0
0P00005UML.BO,ICICI Prudential Gilt Fund - Growth,2022-2023,80.59110260009766,85.34300231933594,0.0,82.9670524597168,0.0
0P00005UML.BO,ICICI Prudential Gilt Fund - Growth,2023-2024,85.38359832763672,92.74829864501952,0.0,89.06594848632812,0.0
0P00005UML.BO,ICICI Prudential Gilt Fund - Growth,2024-2025,92.51840209960938,100.7738037109375,0.0,96.64610290527344,0.0
0P00005UML.BO,ICICI Prudential Gilt Fund - Growth,2025-2026,101.39659881591795,103.45249938964844,0.0,102.4245491027832,0.0
0P00005UML.BO,ICICI Prudential Gilt Fund - Growth,2026-2027,102.83070373535156,105.50489807128906,0.0,104.16780090332033,0.0
0P00005UMR.BO,ICICI Prudential Large & Mid Cap Fund - Growth,2017-2018,316.3900146484375,310.010009765625,0.0,313.20001220703125,0.0
0P00005UMR.BO,ICICI Prudential Large & Mid Cap Fund - Growth,2018-2019,311.5899963378906,322.5799865722656,0.0,317.0849914550781,0.0
0P00005UMR.BO,ICICI Prudential Large & Mid Cap Fund - Growth,2019-2020,326.5299987792969,231.8500061035156,0.0,279.19000244140625,0.0
0P00005UMR.BO,ICICI Prudential Large & Mid Cap Fund - Growth,2020-2021,224.63999938964844,409.4100036621094,0.0,317.0250015258789,0.0
0P00005UMR.BO,ICICI Prudential Large & Mid Cap Fund - Growth,2021-2022,415.7099914550781,532.8400268554688,0.0,474.27500915527344,0.0
0P00005UMR.BO,ICICI Prudential Large & Mid Cap Fund - Growth,2022-2023,541.25,568.0800170898438,0.0,554.6650085449219,0.0
0P00005UMR.BO,ICICI Prudential Large & Mid Cap Fund - Growth,2023-2024,571.239990234375,829.530029296875,0.0,700.385009765625,0.0
0P00005UMR.BO,ICICI Prudential Large & Mid Cap Fund - Growth,2024-2025,837.5,925.8699951171876,0.0,881.6849975585938,0.0
0P00005UMR.BO,ICICI Prudential Large & Mid Cap Fund - Growth,2025-2026,917.5399780273438,919.0800170898438,0.0,918.3099975585938,0.0
0P00005UMR.BO,ICICI Prudential Large & Mid Cap Fund - Growth,2026-2027,938.3599853515624,1022.4000244140624,0.0,980.3800048828124,0.0
0P00005UMS.BO,ICICI Prudential Large & Mid Cap Fund - IDCW,2017-2018,17.209999084472656,16.860000610351562,0.0,17.03499984741211,0.0
0P00005UMS.BO,ICICI Prudential Large & Mid Cap Fund - IDCW,2018-2019,16.950000762939453,17.549999237060547,0.0,17.25,0.0
0P00005UMS.BO,ICICI Prudential Large & Mid Cap Fund - IDCW,2019-2020,17.760000228881836,11.479999542236328,1.4167,14.619999885559082,9.69
0P00005UMS.BO,ICICI Prudential Large & Mid Cap Fund - IDCW,2020-2021,11.130000114440918,18.709999084472656,1.3,14.919999599456789,8.71
0P00005UMS.BO,ICICI Prudential Large & Mid Cap Fund - IDCW,2021-2022,19.0,22.39999961853028,2.0,20.699999809265137,9.66
0P00005UMS.BO,ICICI Prudential Large & Mid Cap Fund - IDCW,2022-2023,22.75,21.709999084472656,2.3,22.229999542236328,10.35
0P00005UMS.BO,ICICI Prudential Large & Mid Cap Fund - IDCW,2023-2024,21.82999992370605,28.96999931335449,2.3,25.39999961853028,9.06
0P00005UMS.BO,ICICI Prudential Large & Mid Cap Fund - IDCW,2024-2025,29.25,29.6299991607666,2.7,29.4399995803833,9.17
0P00005UMS.BO,ICICI Prudential Large & Mid Cap Fund - IDCW,2025-2026,29.36000061035156,26.96999931335449,2.8,28.164999961853027,9.94
0P00005UMS.BO,ICICI Prudential Large & Mid Cap Fund - IDCW,2026-2027,27.530000686645508,30.0,0.0,28.76500034332276,0.0
0P00005UMW.BO,ICICI Prudential Long Term Bond Fund - Growth,2017-2018,54.007598876953125,55.03239822387695,0.0,54.51999855041504,0.0
0P00005UMW.BO,ICICI Prudential Long Term Bond Fund - Growth,2018-2019,55.27289962768555,59.03120040893555,0.0,57.15205001831055,0.0
0P00005UMW.BO,ICICI Prudential Long Term Bond Fund - Growth,2019-2020,59.24599838256836,67.27369689941406,0.0,63.25984764099121,0.0
0P00005UMW.BO,ICICI Prudential Long Term Bond Fund - Growth,2020-2021,66.8407974243164,70.59290313720703,0.0,68.71685028076172,0.0
0P00005UMW.BO,ICICI Prudential Long Term Bond Fund - Growth,2021-2022,70.81919860839844,71.89929962158203,0.0,71.35924911499023,0.0
0P00005UMW.BO,ICICI Prudential Long Term Bond Fund - Growth,2022-2023,71.64810180664062,74.42169952392578,0.0,73.0349006652832,0.0
0P00005UMW.BO,ICICI Prudential Long Term Bond Fund - Growth,2023-2024,74.47100067138672,80.81420135498047,0.0,77.6426010131836,0.0
0P00005UMW.BO,ICICI Prudential Long Term Bond Fund - Growth,2024-2025,80.58419799804688,88.75659942626953,0.0,84.6703987121582,0.0
0P00005UMW.BO,ICICI Prudential Long Term Bond Fund - Growth,2025-2026,89.4114990234375,88.22869873046875,0.0,88.82009887695312,0.0
0P00005UMW.BO,ICICI Prudential Long Term Bond Fund - Growth,2026-2027,87.56079864501953,90.3196029663086,0.0,88.94020080566406,0.0
0P00005UMX.BO,ICICI Prudential Long Term Bond Fund - Quarterly IDCW,2017-2018,11.626399993896484,11.847100257873535,0.0,11.73675012588501,0.0
0P00005UMX.BO,ICICI Prudential Long Term Bond Fund - Quarterly IDCW,2018-2019,11.898799896240234,12.012999534606934,0.579,11.955899715423584,4.84
0P00005UMX.BO,ICICI Prudential Long Term Bond Fund - Quarterly IDCW,2019-2020,11.931300163269045,12.217700004577637,0.898,12.07450008392334,7.44
0P00005UMX.BO,ICICI Prudential Long Term Bond Fund - Quarterly IDCW,2020-2021,12.139100074768066,11.993499755859377,0.8292999999999999,12.06629991531372,6.87
0P00005UMX.BO,ICICI Prudential Long Term Bond Fund - Quarterly IDCW,2021-2022,12.031900405883787,12.06410026550293,0.1524,12.04800033569336,1.26
0P00005UMX.BO,ICICI Prudential Long Term Bond Fund - Quarterly IDCW,2022-2023,12.021900177001951,12.351699829101562,0.2985,12.186800003051758,2.45
0P00005UMX.BO,ICICI Prudential Long Term Bond Fund - Quarterly IDCW,2023-2024,12.194700241088867,12.262700080871582,0.9405,12.228700160980225,7.69
0P00005UMX.BO,ICICI Prudential Long Term Bond Fund - Quarterly IDCW,2024-2025,12.227800369262695,12.41450023651123,1.0115,12.321150302886965,8.21
0P00005UMX.BO,ICICI Prudential Long Term Bond Fund - Quarterly IDCW,2025-2026,12.506099700927734,12.059100151062012,0.287,12.282599925994871,2.34
0P00005UMX.BO,ICICI Prudential Long Term Bond Fund - Quarterly IDCW,2026-2027,11.96780014038086,12.344900131225586,0.0,12.156350135803224,0.0
0P00005UMY.BO,ICICI Prudential Regular Savings Fund - Plan - Growth,2017-2018,39.18339920043945,39.37540054321289,0.0,39.27939987182617,0.0
0P00005UMY.BO,ICICI Prudential Regular Savings Fund - Plan - Growth,2018-2019,39.645599365234375,42.510398864746094,0.0,41.07799911499024,0.0
0P00005UMY.BO,ICICI Prudential Regular Savings Fund - Plan - Growth,2019-2020,42.75090026855469,43.52119827270508,0.0,43.13604927062988,0.0
0P00005UMY.BO,ICICI Prudential Regular Savings Fund - Plan - Growth,2020-2021,42.983001708984375,51.07939910888672,0.0,47.03120040893555,0.0
0P00005UMY.BO,ICICI Prudential Regular Savings Fund - Plan - Growth,2021-2022,51.07419967651367,55.87900161743164,0.0,53.476600646972656,0.0
0P00005UMY.BO,ICICI Prudential Regular Savings Fund - Plan - Growth,2022-2023,56.227298736572266,58.31269836425781,0.0,57.26999855041504,0.0
0P00005UMY.BO,ICICI Prudential Regular Savings Fund - Plan - Growth,2023-2024,58.36399841308594,66.8563003540039,0.0,62.61014938354492,0.0
0P00005UMY.BO,ICICI Prudential Regular Savings Fund - Plan - Growth,2024-2025,67.05789947509766,72.78099822998047,0.0,69.91944885253906,0.0
0P00005UMY.BO,ICICI Prudential Regular Savings Fund - Plan - Growth,2025-2026,73.02110290527344,75.72630310058594,0.0,74.37370300292969,0.0
0P00005UMY.BO,ICICI Prudential Regular Savings Fund - Plan - Growth,2026-2027,75.94560241699219,78.11830139160156,0.0,77.03195190429688,0.0
